x	y
0.004	0.419
0.036	0.374
0.063	0.465
0.095	0.770
0.139	0.772
0.171	0.769
0.196	0.877
0.220	0.764
0.258	0.678
0.295	0.753
0.338	0.811
0.384	0.712
0.417	0.482
0.454	0.438
0.489	0.585
0.511	0.451
0.550	0.523
0.592	0.451
0.632	1.006
0.665	1.156
0.697	1.432
0.730	1.663
0.770	1.509
0.809	1.792
0.861	1.844
0.895	2.149
0.933	2.724
0.967	2.942
1.006	3.172
1.043	3.679
1.092	3.935
1.130	4.473
1.181	5.125
1.220	5.822
1.263	6.599
1.310	8.221
1.343	9.364
1.369	10.386
1.397	11.430
1.421	12.554
1.450	13.633
1.473	15.351
1.501	17.258
1.529	18.969
1.555	21.474
1.576	23.324
1.604	25.948
1.624	28.188
1.643	30.062
1.663	32.681
1.687	35.104
1.707	37.512
1.731	40.501
1.758	43.727
1.777	46.647
1.799	49.869
1.817	52.549
1.837	56.288
1.856	59.711
1.872	62.851
1.888	66.210
1.905	69.699
1.918	72.665
1.935	76.196
1.955	80.495
1.969	83.645
1.983	86.839
1.996	90.182
2.013	93.933
2.027	97.113
2.038	100.384
2.052	103.460
2.065	106.789
2.076	110.169
2.094	114.263
2.104	117.095
2.115	120.157
2.131	124.800
2.144	128.512
2.155	131.502
2.168	135.777
2.185	140.778
2.195	144.361
2.204	147.494
2.217	151.050
2.227	154.938
2.235	157.801
2.246	161.435
2.258	164.809
2.271	168.736
2.283	173.394
2.293	177.025
2.310	182.620
2.320	186.677
2.326	189.715
2.337	194.274
2.345	196.808
2.351	199.718
2.360	202.989
2.368	205.864
2.374	208.560
2.381	210.699
2.389	211.807
2.394	212.199
2.399	212.184
2.407	211.932
2.412	210.797
2.415	209.460
2.420	207.407
2.424	205.509
2.428	202.438
2.432	198.393
2.437	193.888
2.444	188.165
2.450	182.716
2.454	176.518
2.460	170.254
2.465	163.228
2.473	155.068
2.478	150.732
2.482	144.208
2.491	137.271
2.496	130.816
2.503	124.002
2.512	118.093
2.517	112.882
2.525	108.118
2.529	103.235
2.538	98.087
2.546	93.836
2.554	88.869
2.560	84.408
2.571	78.815
2.579	74.854
2.586	70.406
2.594	67.752
2.603	64.227
2.610	61.264
2.616	58.573
2.626	55.310
2.638	51.764
2.646	49.995
2.656	46.808
2.667	44.682
2.675	42.576
2.684	41.064
2.694	39.089
2.706	36.961
2.721	34.288
2.734	32.780
2.747	30.360
2.758	28.898
2.770	26.919
2.782	25.422
2.796	24.069
2.813	22.005
2.832	20.955
2.846	19.449
2.867	18.342
2.892	16.648
2.913	15.908
2.933	14.805
2.956	13.950
2.980	13.127
3.005	12.389
3.030	11.472
3.058	10.894
3.080	10.440
3.103	9.889
3.128	9.671
3.153	8.964
3.179	8.522
3.209	8.088
3.240	7.569
3.274	7.280
3.306	6.508
3.340	6.516
3.371	6.387
3.402	6.169
3.439	6.012
3.471	5.520
3.495	5.335
