x	y
0.005	0.625
0.038	0.930
0.079	0.882
0.111	0.789
0.147	0.737
0.197	0.606
0.235	0.608
0.263	0.749
0.302	0.718
0.327	0.826
0.353	0.708
0.390	0.889
0.416	0.696
0.441	0.665
0.473	0.407
0.502	0.707
0.519	0.612
0.536	0.494
0.564	0.644
0.587	0.612
0.608	0.537
0.635	0.561
0.649	0.562
0.679	0.563
0.708	0.892
0.747	1.271
0.782	1.792
0.808	2.013
0.835	2.613
0.861	3.805
0.880	4.708
0.899	5.706
0.925	7.302
0.954	9.499
0.966	11.268
0.985	13.015
1.001	15.645
1.018	18.398
1.035	22.448
1.050	26.507
1.066	30.411
1.080	35.012
1.095	40.131
1.108	43.906
1.123	48.961
1.137	52.506
1.152	56.393
1.161	59.170
1.170	61.989
1.183	65.722
1.196	68.816
1.209	72.913
1.222	76.094
1.234	79.608
1.248	83.793
1.263	87.539
1.276	90.741
1.290	94.598
1.306	98.476
1.319	102.086
1.332	105.685
1.343	108.568
1.352	111.183
1.363	114.463
1.374	117.254
1.385	120.044
1.394	122.733
1.404	124.984
1.412	127.219
1.425	130.589
1.437	133.756
1.450	136.782
1.463	139.898
1.474	142.754
1.484	145.946
1.498	149.315
1.507	151.691
1.519	154.562
1.533	157.794
1.543	160.537
1.556	164.097
1.567	166.670
1.578	169.272
1.594	172.765
1.608	176.273
1.621	179.694
1.633	182.479
1.645	185.197
1.661	189.580
1.677	193.438
1.690	197.199
1.705	200.454
1.719	203.248
1.729	206.686
1.743	210.011
1.758	213.462
1.774	216.982
1.786	220.369
1.800	223.128
1.814	227.614
1.829	230.782
1.843	234.046
1.856	237.709
1.871	240.634
1.882	243.805
1.897	246.924
1.911	250.749
1.926	253.896
1.939	256.972
1.952	259.921
1.966	263.031
1.982	266.441
1.999	270.453
2.015	273.740
2.026	276.488
2.043	280.417
2.057	283.598
2.071	287.026
2.084	289.981
2.099	293.183
2.113	296.188
2.124	298.927
2.138	302.162
2.150	304.951
2.162	307.752
2.174	310.749
2.188	313.788
2.199	316.200
2.214	319.483
2.236	324.983
2.248	328.049
2.259	331.418
2.271	334.149
2.287	337.590
2.302	340.642
2.316	344.851
2.333	348.283
2.347	351.302
2.359	353.961
2.371	356.528
2.379	358.904
2.385	359.824
2.391	357.596
2.395	355.316
2.399	351.734
2.402	347.769
2.408	342.646
2.413	336.566
2.419	330.416
2.419	324.889
2.424	317.950
2.428	310.474
2.431	303.704
2.434	298.101
2.438	292.334
2.440	283.717
2.443	276.771
2.447	270.164
2.450	262.872
2.454	254.630
2.458	246.464
2.462	237.745
2.466	229.365
2.469	222.073
2.475	213.321
2.478	206.211
2.482	198.073
2.489	189.416
2.493	182.089
2.499	174.708
2.504	166.781
2.509	159.536
2.515	152.617
2.521	145.063
2.527	138.858
2.534	131.627
2.541	124.329
2.547	118.283
2.556	110.904
2.562	105.586
2.571	99.935
2.581	94.013
2.587	89.971
2.595	86.344
2.600	81.983
2.606	78.106
2.616	73.660
2.624	69.034
2.635	65.436
2.643	62.502
2.651	59.441
2.660	56.608
2.669	53.736
2.681	50.734
2.691	47.956
2.705	45.243
2.718	42.465
2.733	39.962
2.749	36.911
2.768	33.849
2.790	31.137
2.814	28.978
2.834	26.904
2.859	24.929
2.882	23.152
2.907	21.502
2.929	19.764
2.952	18.683
2.977	17.583
3.000	16.326
3.028	15.491
3.058	13.931
3.094	13.444
3.131	11.810
3.172	11.293
3.206	10.420
3.243	9.963
3.269	9.398
3.306	8.868
3.335	8.362
3.367	8.312
3.399	8.119
3.443	7.296
3.472	6.843
3.497	6.993
