x	y
0.004	0.758
0.040	0.972
0.083	0.896
0.124	0.996
0.158	0.936
0.214	0.831
0.265	0.876
0.308	0.689
0.362	0.631
0.430	1.003
0.490	0.870
0.540	1.047
0.573	0.889
0.602	0.742
0.638	0.890
0.669	0.807
0.697	0.929
0.710	1.427
0.718	2.604
0.722	4.425
0.725	7.426
0.731	11.631
0.736	16.579
0.740	21.421
0.742	27.000
0.745	32.033
0.747	37.155
0.751	47.113
0.756	55.458
0.759	63.694
0.761	72.475
0.761	77.817
0.764	83.980
0.766	89.123
0.769	94.296
0.771	99.157
0.772	103.530
0.773	108.781
0.776	113.371
0.778	117.841
0.780	121.061
0.782	123.921
0.782	128.479
0.785	132.772
0.788	137.567
0.789	140.973
0.794	145.137
0.796	148.360
0.797	152.227
0.800	156.250
0.803	160.647
0.808	164.935
0.813	169.452
0.816	173.589
0.822	178.345
0.831	182.658
0.838	186.613
0.848	191.101
0.855	193.390
0.861	195.416
0.867	197.274
0.874	198.728
0.881	200.823
0.890	202.433
0.898	203.710
0.906	205.063
0.915	206.253
0.924	207.631
0.936	208.442
0.950	209.689
0.961	210.790
0.979	212.201
0.998	213.220
1.020	214.224
1.040	214.688
1.059	215.859
1.088	216.453
1.112	217.081
1.129	217.472
1.156	217.410
1.177	217.796
1.201	218.412
1.223	218.887
1.250	219.557
1.272	219.556
1.306	220.070
1.336	220.493
1.363	220.646
1.394	220.707
1.422	221.079
1.453	221.180
1.480	221.426
1.516	221.622
1.547	221.872
1.573	222.082
1.604	221.767
1.634	221.956
1.661	222.181
1.684	222.402
1.708	222.400
1.736	222.585
1.760	222.498
1.775	222.497
1.796	222.559
1.816	222.691
1.834	222.752
1.853	222.664
1.875	222.692
1.898	222.607
1.919	222.769
1.948	222.460
1.973	222.720
1.999	222.511
2.029	222.819
2.056	222.818
2.082	222.860
2.109	223.015
2.133	223.165
2.162	223.016
2.190	222.726
2.213	222.603
2.236	222.531
2.260	222.334
2.283	222.457
2.303	222.694
2.324	222.694
2.346	222.472
2.375	222.326
2.401	222.325
2.426	222.365
2.446	222.254
2.471	222.192
2.493	222.044
2.509	221.909
2.525	221.827
2.527	225.458
2.530	230.968
2.533	234.552
2.548	233.930
2.562	232.737
2.585	231.251
2.599	229.947
2.608	227.498
2.616	225.010
2.619	222.589
2.623	220.235
2.624	217.627
2.624	215.537
2.627	212.618
2.629	209.032
2.631	205.495
2.633	201.958
2.636	198.222
2.638	194.551
2.639	189.461
2.641	184.063
2.644	178.353
2.647	173.818
2.649	166.465
2.651	161.239
2.655	156.127
2.656	151.420
2.659	146.707
2.663	140.831
2.665	134.270
2.668	128.729
2.672	123.430
2.675	117.438
2.680	112.935
2.684	107.940
2.685	103.217
2.691	98.652
2.693	95.191
2.697	91.650
2.701	88.470
2.704	84.930
2.709	80.963
2.714	76.844
2.719	73.453
2.726	69.160
2.732	64.979
2.746	59.150
2.756	55.017
2.767	51.373
2.778	47.945
2.790	45.182
2.800	42.906
2.812	40.818
2.823	38.696
2.839	36.360
2.855	34.417
2.871	32.225
2.895	30.102
2.925	27.648
2.947	26.055
2.970	24.452
2.999	22.805
3.026	21.374
3.054	20.208
3.076	19.147
3.098	18.025
3.125	17.584
3.150	16.777
3.173	15.928
3.198	15.520
3.222	15.057
3.244	14.448
3.265	13.731
3.290	13.089
3.326	12.498
3.353	12.039
3.380	11.879
3.407	11.793
3.434	11.360
3.466	10.695
3.497	10.621
