x	y
0.005	1.287
0.031	1.114
0.066	1.116
0.097	1.263
0.126	1.265
0.166	1.313
0.202	1.245
0.231	1.161
0.270	0.994
0.308	0.803
0.351	0.521
0.398	0.771
0.442	0.649
0.484	0.869
0.517	1.100
0.554	1.520
0.589	1.377
0.625	1.119
0.664	1.251
0.693	1.093
0.732	1.213
0.778	0.815
0.822	1.354
0.867	1.372
0.904	1.621
0.947	1.606
0.993	1.039
1.031	1.592
1.074	1.270
1.118	1.456
1.162	1.747
1.209	2.245
1.257	2.420
1.300	3.584
1.348	4.408
1.397	5.893
1.447	7.233
1.502	9.404
1.540	11.694
1.588	13.898
1.633	16.926
1.674	19.104
1.713	22.061
1.747	24.535
1.788	28.102
1.823	31.156
1.857	34.572
1.888	38.112
1.923	42.296
1.947	45.006
1.969	48.235
1.997	51.870
2.025	55.340
2.046	58.840
2.071	62.358
2.095	66.492
2.117	70.038
2.141	73.626
2.164	77.163
2.184	81.112
2.204	84.470
2.229	89.271
2.252	93.702
2.271	97.191
2.296	102.104
2.313	105.629
2.330	108.876
2.342	111.852
2.358	114.950
2.375	118.502
2.383	119.630
2.393	120.269
2.405	119.949
2.415	118.117
2.424	115.262
2.432	111.060
2.439	106.826
2.446	102.942
2.452	98.223
2.458	93.671
2.464	89.479
2.474	82.907
2.481	76.484
2.490	71.817
2.499	67.185
2.510	61.111
2.523	55.545
2.533	50.860
2.543	47.104
2.556	42.756
2.569	39.112
2.585	35.047
2.601	31.069
2.621	27.772
2.642	24.433
2.665	20.965
2.686	18.604
2.712	16.487
2.740	14.450
2.766	12.856
2.790	11.455
2.820	10.225
2.849	9.264
2.878	8.405
2.908	7.515
2.948	6.754
2.992	5.956
3.027	5.814
3.064	5.042
3.095	4.949
3.122	4.406
3.154	4.586
3.194	3.854
3.224	3.790
3.250	3.792
3.270	3.531
3.294	3.252
3.326	2.973
3.358	2.690
3.387	2.539
3.417	2.348
3.447	2.304
3.477	2.138
3.496	2.164
