x	y
0.005	0.749
0.051	0.732
0.088	0.938
0.131	0.978
0.176	0.996
0.209	1.368
0.261	1.049
0.296	1.053
0.338	1.082
0.378	1.220
0.421	1.041
0.444	1.022
0.476	0.862
0.494	0.844
0.520	0.740
0.546	0.712
0.576	0.899
0.598	0.706
0.627	0.847
0.656	0.756
0.688	0.762
0.722	0.767
0.757	1.161
0.784	0.826
0.815	1.239
0.856	1.344
0.883	2.081
0.913	3.181
0.940	4.965
0.959	6.281
0.987	7.844
1.014	10.163
1.045	12.873
1.069	16.042
1.097	18.664
1.127	21.918
1.155	24.635
1.182	27.299
1.207	29.628
1.236	32.228
1.260	34.546
1.283	36.710
1.313	39.441
1.340	41.975
1.364	44.118
1.391	47.257
1.421	49.957
1.457	53.372
1.484	55.662
1.508	57.999
1.532	60.330
1.560	62.805
1.594	65.873
1.626	68.669
1.654	71.313
1.685	74.211
1.718	76.810
1.744	79.371
1.770	81.169
1.796	83.517
1.820	85.646
1.843	88.122
1.869	90.514
1.895	92.595
1.927	95.488
1.953	97.916
1.983	100.681
2.005	102.934
2.038	105.736
2.072	108.406
2.100	110.952
2.123	113.089
2.149	115.082
2.177	117.849
2.202	119.831
2.220	121.721
2.243	123.671
2.259	125.065
2.279	126.664
2.303	128.472
2.325	130.602
2.349	132.209
2.368	134.162
2.382	134.523
2.393	133.797
2.402	131.415
2.408	128.692
2.411	126.520
2.419	123.259
2.425	120.229
2.431	115.892
2.434	112.259
2.441	108.337
2.446	104.572
2.450	100.579
2.456	97.197
2.461	92.788
2.466	89.471
2.474	84.376
2.479	80.416
2.486	75.826
2.495	71.107
2.505	65.922
2.515	61.406
2.522	57.738
2.533	53.018
2.546	48.765
2.554	45.244
2.564	42.111
2.578	38.412
2.595	35.114
2.607	32.467
2.623	29.089
2.637	27.027
2.653	24.890
2.665	23.371
2.680	21.530
2.697	19.969
2.716	18.250
2.733	16.655
2.750	15.733
2.768	14.768
2.790	12.943
2.812	11.740
2.832	11.546
2.862	10.615
2.899	9.648
2.942	7.921
2.977	7.488
3.005	6.970
3.035	6.689
3.075	6.130
3.111	5.409
3.145	5.123
3.179	4.909
3.219	4.344
3.247	4.227
3.284	4.420
3.314	4.090
3.342	3.854
3.372	4.120
3.412	3.658
3.460	3.677
3.497	3.615
