x	y
0.005	-0.080
0.044	0.678
0.150	0.804
0.281	0.821
0.431	0.914
0.495	0.947
0.535	0.945
0.576	0.765
0.657	0.851
0.698	0.986
0.714	1.471
0.725	3.016
0.728	5.289
0.740	9.260
0.744	13.987
0.751	19.164
0.756	26.035
0.758	31.714
0.763	37.360
0.771	51.083
0.780	66.450
0.792	81.936
0.803	93.805
0.817	103.670
0.828	110.633
0.844	117.109
0.860	121.556
0.881	125.707
0.898	128.859
0.918	130.870
0.937	132.966
0.966	134.853
0.999	136.777
1.032	138.080
1.074	139.444
1.127	140.695
1.176	141.176
1.233	141.786
1.269	141.857
1.324	142.902
1.360	143.040
1.396	143.353
1.471	143.906
1.562	144.434
1.637	144.928
1.690	145.061
1.744	144.937
1.810	144.984
1.847	145.186
1.885	145.172
1.921	145.036
1.958	145.130
1.996	145.128
2.030	145.193
2.074	145.191
2.149	144.898
2.201	145.018
2.266	144.779
2.317	144.980
2.364	144.976
2.412	145.139
2.447	145.257
2.479	145.337
2.507	145.330
2.529	145.100
2.539	143.566
2.545	141.628
2.549	139.752
2.553	137.366
2.556	134.755
2.561	132.476
2.566	128.949
2.572	125.483
2.575	122.384
2.583	118.311
2.588	114.457
2.592	110.516
2.598	106.421
2.608	100.240
2.613	96.655
2.618	92.650
2.629	87.244
2.639	81.646
2.652	76.132
2.662	71.514
2.679	64.414
2.693	59.032
2.705	55.123
2.717	51.760
2.730	48.252
2.743	45.076
2.764	40.882
2.783	37.102
2.806	32.950
2.833	29.292
2.869	25.327
2.906	22.269
2.934	19.902
2.962	18.520
2.989	17.149
3.012	15.991
3.035	15.042
3.057	14.251
3.083	13.294
3.116	12.559
3.145	11.965
3.189	10.840
3.215	10.590
3.243	10.222
3.281	9.546
3.312	9.057
3.348	8.453
3.388	8.304
3.435	7.755
3.493	7.108
